CustomerID,Age,Gender,ItemPurchased,Category,PurchaseAmountUSD,Size,ReviewRating,DiscountApplied,PreviousPurchases,PaymentMethod,Annual_Income,Spending_Score,Purchase_Frequency,Location_Rural,Location_Suburban,Location_Urban,Demographics_Homemaker,Demographics_Professional,Demographics_Retired,Demographics_Student
1,56,Male,Bag,Accessories,374.86,L,3,Yes,7,PayPal,94510,14,15,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2,46,Male,Shoes,Home Decor,33.28,S,2,Yes,3,UPI,117668,98,8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3,32,Female,Laptop,Home Decor,117.45,S,4,Yes,13,UPI,80912,41,16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4,60,Male,Bag,Home Decor,356.05,M,2,No,14,PayPal,87164,100,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5,25,Female,Laptop,Accessories,393.5,M,2,No,5,Cash,87035,52,6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
6,38,Female,Phone,Accessories,233.11,M,5,No,4,UPI,128962,54,18,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
7,56,Male,Shoes,Accessories,352.06,S,2,Yes,12,UPI,136466,70,13,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,36,Female,T-Shirt,Clothing,200.1,XL,2,Yes,9,UPI,138395,34,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
9,40,Female,Watch,Electronics,88.36,M,2,Yes,5,UPI,137521,64,11,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
10,28,Male,Football,Home Decor,205.09,XL,1,Yes,3,Credit Card,120507,28,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
11,28,Female,Football,Clothing,294.18,M,3,Yes,3,UPI,111359,2,6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
12,41,Female,Watch,Home Decor,474.55,S,3,No,6,Cash,98409,16,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
13,53,Female,Phone,Clothing,43.69,XL,2,Yes,0,Credit Card,143430,15,12,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
14,57,Female,Shoes,Accessories,258.62,XL,5,No,8,UPI,82577,37,10,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
